iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
#--> latest commit:9670e529bf871b672660c78c9cc72e285c7bb8fd 20220203022000 in burger_war_dev
0, 1, 190, 2022-02-03T02:25:13+09:00, 6, 4, WIN, r
0, 2, 190, 2022-02-03T02:29:27+09:00, 6, 1, WIN, r
0, 3, 190, 2022-02-03T02:33:41+09:00, 8, 12, LOSE, r
0, 4, 190, 2022-02-03T02:37:56+09:00, 5, 9, LOSE, r
0, 5, 190, 2022-02-03T02:42:10+09:00, 11, 18, LOSE, r
0, 6, 190, 2022-02-03T02:46:24+09:00, 11, 12, LOSE, r
0, 7, 190, 2022-02-03T02:50:38+09:00, 2, 12, LOSE, r
0, 8, 190, 2022-02-03T02:54:52+09:00, 5, 11, LOSE, r
0, 9, 190, 2022-02-03T02:59:07+09:00, 6, 13, LOSE, r
0, 10, 190, 2022-02-03T03:03:21+09:00, 1, 11, LOSE, r
0, 11, 190, 2022-02-03T03:07:35+09:00, 11, 9, WIN, r
0, 12, 190, 2022-02-03T03:11:49+09:00, 1, 11, LOSE, r
1, 1, 190, 2022-02-03T05:56:08+09:00, 3, 1, WIN, r
1, 2, 190, 2022-02-03T06:00:22+09:00, 2, 8, LOSE, r
1, 3, 190, 2022-02-03T06:04:36+09:00, 3, 12, LOSE, r
1, 4, 190, 2022-02-03T06:08:51+09:00, 3, 13, LOSE, r
1, 5, 190, 2022-02-03T06:13:07+09:00, 3, 14, LOSE, r
1, 6, 190, 2022-02-03T06:17:21+09:00, 12, 16, LOSE, r
1, 7, 190, 2022-02-03T06:21:35+09:00, 13, 14, LOSE, r
1, 8, 190, 2022-02-03T06:25:49+09:00, 3, 0, WIN, r
1, 9, 190, 2022-02-03T06:30:03+09:00, 11, 13, LOSE, r
1, 10, 190, 2022-02-03T06:34:17+09:00, 3, 14, LOSE, r
1, 11, 190, 2022-02-03T06:38:31+09:00, 2, 12, LOSE, r
1, 12, 190, 2022-02-03T06:42:45+09:00, 2, 13, LOSE, r
2, 1, 190, 2022-02-03T09:25:42+09:00, 14, 4, WIN, r
2, 2, 190, 2022-02-03T09:29:42+09:00, 6, 2, WIN, r
2, 3, 190, 2022-02-03T09:33:56+09:00, 2, 12, LOSE, r
2, 4, 190, 2022-02-03T09:38:10+09:00, 8, 9, LOSE, r
2, 5, 190, 2022-02-03T09:42:24+09:00, 4, 14, LOSE, r
2, 6, 190, 2022-02-03T09:46:38+09:00, 1, 11, LOSE, r
2, 7, 190, 2022-02-03T09:50:52+09:00, 1, 12, LOSE, r
2, 8, 190, 2022-02-03T09:55:06+09:00, 5, 6, LOSE, r
2, 9, 190, 2022-02-03T09:59:20+09:00, 8, 7, WIN, r
2, 10, 190, 2022-02-03T10:03:34+09:00, 1, 13, LOSE, r
2, 11, 190, 2022-02-03T10:07:48+09:00, 2, 12, LOSE, r
2, 12, 190, 2022-02-03T10:12:02+09:00, 2, 14, LOSE, r
3, 1, 190, 2022-02-03T12:55:12+09:00, 4, 1, WIN, r
3, 2, 190, 2022-02-03T12:59:26+09:00, 5, 9, LOSE, r
3, 3, 190, 2022-02-03T13:03:41+09:00, 12, 8, WIN, r
3, 4, 190, 2022-02-03T13:07:56+09:00, 6, 16, LOSE, r
3, 5, 190, 2022-02-03T13:12:10+09:00, 13, 21, LOSE, r
3, 6, 190, 2022-02-03T13:16:24+09:00, 7, 13, LOSE, r
3, 7, 190, 2022-02-03T13:20:38+09:00, 3, 14, LOSE, r
3, 8, 190, 2022-02-03T13:24:52+09:00, 5, 8, LOSE, r
3, 9, 190, 2022-02-03T13:29:06+09:00, 5, 6, LOSE, r
3, 10, 190, 2022-02-03T13:33:20+09:00, 5, 17, LOSE, r
3, 11, 190, 2022-02-03T13:37:34+09:00, 10, 13, LOSE, r
3, 12, 190, 2022-02-03T13:41:49+09:00, 3, 11, LOSE, r
4, 1, 190, 2022-02-03T16:25:04+09:00, 3, 1, WIN, r
