iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
#--> latest commit:23fcb2e3939930cd9bc7c93744108cc4b7db923b in burger_war_dev
0, 1, 240, 2021-02-03T13:14:20+00:00, 3, 1, WIN, r
0, 2, 240, 2021-02-03T13:19:26+00:00, 17, 12, WIN, r
0, 3, 240, 2021-02-03T13:24:33+00:00, 2, 13, LOSE, r
0, 4, 240, 2021-02-03T13:29:39+00:00, 2, 13, LOSE, r
0, 5, 240, 2021-02-03T13:34:45+00:00, 12, 22, LOSE, r
0, 6, 240, 2021-02-03T13:39:50+00:00, 3, 14, LOSE, r
0, 7, 240, 2021-02-03T13:44:58+00:00, 2, 13, LOSE, r
0, 8, 240, 2021-02-03T13:50:08+00:00, 1, 13, LOSE, r
1, 1, 240, 2021-02-03T13:55:28+00:00, 5, 1, WIN, r
1, 2, 240, 2021-02-03T14:00:34+00:00, 14, 12, WIN, r
1, 3, 240, 2021-02-03T14:05:43+00:00, 6, 7, LOSE, r
1, 4, 240, 2021-02-03T14:10:50+00:00, 8, 13, LOSE, r
1, 5, 240, 2021-02-03T14:15:54+00:00, 8, 17, LOSE, r
1, 6, 240, 2021-02-03T14:21:00+00:00, 8, 18, LOSE, r
1, 7, 240, 2021-02-03T14:26:09+00:00, 12, 19, LOSE, r
1, 8, 240, 2021-02-03T14:31:13+00:00, 2, 0, WIN, r
2, 1, 240, 2021-02-03T14:36:33+00:00, 4, 1, WIN, r
2, 2, 240, 2021-02-03T14:41:39+00:00, 3, 13, LOSE, r
2, 3, 240, 2021-02-03T14:46:45+00:00, 10, 13, LOSE, r
2, 4, 240, 2021-02-03T14:51:52+00:00, 12, 19, LOSE, r
2, 5, 240, 2021-02-03T14:56:59+00:00, 13, 16, LOSE, r
2, 6, 240, 2021-02-03T15:02:05+00:00, 1, 11, LOSE, r
2, 7, 240, 2021-02-03T15:07:11+00:00, 3, 15, LOSE, r
2, 8, 240, 2021-02-03T15:12:18+00:00, 3, 0, WIN, r
3, 1, 240, 2021-02-03T15:17:38+00:00, 3, 1, WIN, r
3, 2, 240, 2021-02-03T15:22:44+00:00, 12, 9, WIN, r
3, 3, 240, 2021-02-03T15:27:50+00:00, 13, 11, WIN, r
3, 4, 240, 2021-02-03T15:32:57+00:00, 8, 18, LOSE, r
3, 5, 240, 2021-02-03T15:38:01+00:00, 12, 22, LOSE, r
3, 6, 240, 2021-02-03T15:43:08+00:00, 2, 14, LOSE, r
3, 7, 240, 2021-02-03T15:48:12+00:00, 4, 15, LOSE, r
3, 8, 240, 2021-02-03T15:53:17+00:00, 2, 3, LOSE, r
4, 1, 240, 2021-02-03T15:58:36+00:00, 3, 1, WIN, r
4, 2, 240, 2021-02-03T16:03:42+00:00, 8, 12, LOSE, r
4, 3, 240, 2021-02-03T16:08:49+00:00, 4, 14, LOSE, r
4, 4, 240, 2021-02-03T16:13:55+00:00, 6, 18, LOSE, r
4, 5, 240, 2021-02-03T16:19:02+00:00, 4, 14, LOSE, r
4, 6, 240, 2021-02-03T16:24:06+00:00, 6, 16, LOSE, r
4, 7, 240, 2021-02-03T16:29:13+00:00, 1, 11, LOSE, r
4, 8, 240, 2021-02-03T16:34:17+00:00, 3, 14, LOSE, r
5, 1, 240, 2021-02-03T16:39:37+00:00, 9, 1, WIN, r
5, 2, 240, 2021-02-03T16:44:44+00:00, 0, 12, LOSE, r
5, 3, 240, 2021-02-03T16:49:50+00:00, 2, 13, LOSE, r
5, 4, 240, 2021-02-03T16:54:56+00:00, 5, 17, LOSE, r
5, 5, 240, 2021-02-03T17:00:03+00:00, 1, 13, LOSE, r
5, 6, 240, 2021-02-03T17:05:10+00:00, 5, 16, LOSE, r
5, 7, 240, 2021-02-03T17:10:16+00:00, 3, 14, LOSE, r
5, 8, 240, 2021-02-03T17:15:21+00:00, 6, 0, WIN, r
6, 1, 240, 2021-02-03T17:20:42+00:00, 2, 1, WIN, r
6, 2, 240, 2021-02-03T17:25:48+00:00, 12, 13, LOSE, r
6, 3, 240, 2021-02-03T17:30:55+00:00, 11, 13, LOSE, r
6, 4, 240, 2021-02-03T17:35:59+00:00, 3, 13, LOSE, r
6, 5, 240, 2021-02-03T17:41:06+00:00, 12, 19, LOSE, r
6, 6, 240, 2021-02-03T17:46:12+00:00, 2, 12, LOSE, r
6, 7, 240, 2021-02-03T17:51:18+00:00, 2, 15, LOSE, r
6, 8, 240, 2021-02-03T17:56:25+00:00, 5, 0, WIN, r
