iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
#--> latest commit:f86a48ebd80cf93178c8396b73bfb86db0226e01 20220203012627 in burger_war_dev
0, 1, 190, 2022-02-03T01:31:40+09:00, 7, 1, WIN, r
0, 2, 190, 2022-02-03T01:35:54+09:00, 11, 1, WIN, r
0, 3, 190, 2022-02-03T01:40:09+09:00, 10, 0, WIN, r
0, 4, 190, 2022-02-03T01:44:23+09:00, 14, 4, WIN, r
0, 5, 190, 2022-02-03T01:48:23+09:00, 13, 5, WIN, r
0, 6, 190, 2022-02-03T01:52:37+09:00, 15, 5, WIN, r
0, 7, 190, 2022-02-03T01:56:51+09:00, 15, 1, WIN, r
0, 8, 190, 2022-02-03T02:01:05+09:00, 6, 4, WIN, r
0, 9, 190, 2022-02-03T02:05:05+09:00, 14, 3, WIN, r
0, 10, 190, 2022-02-03T02:09:19+09:00, 13, 1, WIN, r
0, 11, 190, 2022-02-03T02:13:33+09:00, 11, 0, WIN, r
0, 12, 190, 2022-02-03T02:17:47+09:00, 6, 5, WIN, r
1, 1, 190, 2022-02-03T05:03:55+09:00, 8, 1, WIN, r
1, 2, 190, 2022-02-03T05:08:10+09:00, 10, 0, WIN, r
1, 3, 190, 2022-02-03T05:12:24+09:00, 10, 0, WIN, r
1, 4, 190, 2022-02-03T05:16:38+09:00, 17, 5, WIN, r
1, 5, 190, 2022-02-03T05:20:52+09:00, 14, 3, WIN, r
1, 6, 190, 2022-02-03T05:25:06+09:00, 15, 4, WIN, r
1, 7, 190, 2022-02-03T05:29:06+09:00, 14, 4, WIN, r
1, 8, 190, 2022-02-03T05:33:20+09:00, 5, 4, WIN, r
1, 9, 190, 2022-02-03T05:37:35+09:00, 8, 2, WIN, r
1, 10, 190, 2022-02-03T05:41:49+09:00, 11, 1, WIN, r
1, 11, 190, 2022-02-03T05:46:03+09:00, 14, 2, WIN, r
1, 12, 190, 2022-02-03T05:50:17+09:00, 5, 7, LOSE, r
2, 1, 190, 2022-02-03T08:33:16+09:00, 9, 1, WIN, r
2, 2, 190, 2022-02-03T08:37:30+09:00, 11, 0, WIN, r
2, 3, 190, 2022-02-03T08:41:44+09:00, 10, 0, WIN, r
2, 4, 190, 2022-02-03T08:45:58+09:00, 6, 5, WIN, r
2, 5, 190, 2022-02-03T08:50:12+09:00, 16, 4, WIN, r
2, 6, 190, 2022-02-03T08:54:26+09:00, 14, 4, WIN, r
2, 7, 190, 2022-02-03T08:58:40+09:00, 6, 12, LOSE, r
2, 8, 190, 2022-02-03T09:02:54+09:00, 6, 1, WIN, r
2, 9, 190, 2022-02-03T09:07:09+09:00, 4, 1, WIN, r
2, 10, 190, 2022-02-03T09:11:23+09:00, 11, 0, WIN, r
2, 11, 190, 2022-02-03T09:15:37+09:00, 10, 0, WIN, r
2, 12, 190, 2022-02-03T09:19:51+09:00, 5, 7, LOSE, r
