iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
#--> latest commit:3ba05e82c6f150ff84437d7aa918dc8a7664e340 20220118123250 in burger_war_dev
#--> latest commit:3ba05e82c6f150ff84437d7aa918dc8a7664e340 20220118123609 in burger_war_dev
0, 1, 240, 2022-01-18T12:42:10+09:00, 4, 1, WIN, r
0, 2, 240, 2022-01-18T12:47:14+09:00, 15, 1, WIN, r
0, 3, 240, 2022-01-18T12:52:19+09:00, 12, 4, WIN, r
0, 4, 240, 2022-01-18T12:57:24+09:00, 15, 5, WIN, r
0, 5, 240, 2022-01-18T13:02:29+09:00, 14, 8, WIN, r
0, 6, 240, 2022-01-18T13:07:34+09:00, 13, 8, WIN, r
0, 7, 240, 2022-01-18T13:12:39+09:00, 15, 4, WIN, r
0, 8, 240, 2022-01-18T13:17:44+09:00, 2, 0, WIN, r
0, 9, 240, 2022-01-18T13:22:49+09:00, 8, 5, WIN, r
0, 10, 240, 2022-01-18T13:27:54+09:00, 11, 7, WIN, r
0, 11, 240, 2022-01-18T13:32:59+09:00, 4, 3, WIN, r
0, 12, 240, 2022-01-18T13:38:04+09:00, 9, 6, WIN, r
1, 1, 240, 2022-01-18T14:48:20+09:00, 4, 1, WIN, r
1, 2, 240, 2022-01-18T14:53:25+09:00, 12, 1, WIN, r
1, 3, 240, 2022-01-18T14:58:30+09:00, 6, 2, WIN, r
1, 4, 240, 2022-01-18T15:03:34+09:00, 11, 1, WIN, r
1, 5, 240, 2022-01-18T15:08:39+09:00, 16, 5, WIN, r
1, 6, 240, 2022-01-18T15:13:44+09:00, 12, 5, WIN, r
1, 7, 240, 2022-01-18T15:18:50+09:00, 13, 2, WIN, r
1, 8, 240, 2022-01-18T15:23:57+09:00, 7, 0, WIN, r
1, 9, 240, 2022-01-18T15:29:01+09:00, 3, 2, WIN, r
1, 10, 240, 2022-01-18T15:34:06+09:00, 14, 4, WIN, r
1, 11, 240, 2022-01-18T15:39:11+09:00, 14, 3, WIN, r
1, 12, 240, 2022-01-18T15:44:17+09:00, 4, 5, LOSE, r
