iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result
#--> latest commit:46e6b937cec3a583f857add037aa257f96e97ac5
0, 1, 225, 2020-08-06T03:40:59+00:00, 19, 9, WIN
0, 2, 225, 2020-08-06T03:45:47+00:00, 9, 2, WIN
0, 3, 225, 2020-08-06T03:50:35+00:00, 10, 0, WIN
#--> latest commit:a9d4afbdc486f5d521af9235e84944d0d4f5657b
1, 1, 225, 2020-08-06T03:55:30+00:00, 11, 5, WIN
1, 2, 225, 2020-08-06T04:00:17+00:00, 9, 2, WIN
1, 3, 225, 2020-08-06T04:05:05+00:00, 9, 13, LOSE
2, 1, 225, 2020-08-06T04:09:59+00:00, 18, 12, WIN
2, 2, 225, 2020-08-06T04:14:46+00:00, 9, 2, WIN
2, 3, 225, 2020-08-06T04:19:34+00:00, 10, 0, WIN
3, 1, 225, 2020-08-06T04:24:29+00:00, 15, 13, WIN
3, 2, 225, 2020-08-06T04:29:17+00:00, 9, 2, WIN
3, 3, 225, 2020-08-06T04:34:05+00:00, 9, 2, WIN
4, 1, 225, 2020-08-06T04:38:59+00:00, 12, 13, LOSE
4, 2, 225, 2020-08-06T04:43:47+00:00, 9, 2, WIN
4, 3, 225, 2020-08-06T04:48:34+00:00, 10, 0, WIN
5, 1, 225, 2020-08-06T04:53:28+00:00, 17, 7, WIN
5, 2, 225, 2020-08-06T04:58:16+00:00, 9, 2, WIN
5, 3, 225, 2020-08-06T05:03:04+00:00, 10, 0, WIN
6, 1, 225, 2020-08-06T05:07:58+00:00, 17, 9, WIN
6, 2, 225, 2020-08-06T05:12:46+00:00, 12, 2, WIN
6, 3, 225, 2020-08-06T05:17:34+00:00, 10, 0, WIN
7, 1, 225, 2020-08-06T05:22:28+00:00, 15, 4, WIN
7, 2, 225, 2020-08-06T05:27:15+00:00, 9, 2, WIN
7, 3, 225, 2020-08-06T05:32:04+00:00, 13, 3, WIN
8, 1, 225, 2020-08-06T05:36:58+00:00, 10, 0, WIN
8, 2, 225, 2020-08-06T05:41:45+00:00, 9, 2, WIN
8, 3, 225, 2020-08-06T05:46:33+00:00, 10, 0, WIN
9, 1, 225, 2020-08-06T05:51:27+00:00, 12, 10, WIN
9, 2, 225, 2020-08-06T05:56:15+00:00, 9, 2, WIN
9, 3, 225, 2020-08-06T06:01:03+00:00, 2, 12, LOSE
10, 1, 225, 2020-08-06T06:05:57+00:00, 12, 10, WIN
10, 2, 225, 2020-08-06T06:10:45+00:00, 9, 2, WIN
10, 3, 225, 2020-08-06T06:15:32+00:00, 10, 1, WIN
11, 1, 225, 2020-08-06T06:20:26+00:00, 12, 12, LOSE
11, 2, 225, 2020-08-06T06:25:15+00:00, 12, 2, WIN
11, 3, 225, 2020-08-06T06:30:03+00:00, 13, 1, WIN
12, 1, 225, 2020-08-06T06:34:59+00:00, 17, 13, WIN
12, 2, 225, 2020-08-06T06:39:46+00:00, 9, 2, WIN
12, 3, 225, 2020-08-06T06:44:34+00:00, 12, 1, WIN
13, 1, 225, 2020-08-06T06:49:28+00:00, 19, 13, WIN
13, 2, 225, 2020-08-06T06:54:16+00:00, 9, 2, WIN
13, 3, 225, 2020-08-06T06:59:04+00:00, 13, 1, WIN
14, 1, 225, 2020-08-06T07:03:58+00:00, 12, 5, WIN
14, 2, 225, 2020-08-06T07:08:46+00:00, 10, 2, WIN
14, 3, 225, 2020-08-06T07:13:33+00:00, 13, 1, WIN
15, 1, 225, 2020-08-06T07:18:27+00:00, 12, 8, WIN
15, 2, 225, 2020-08-06T07:23:15+00:00, 10, 1, WIN
15, 3, 225, 2020-08-06T07:28:03+00:00, 9, 5, WIN
16, 1, 225, 2020-08-06T07:32:57+00:00, 17, 13, WIN
16, 2, 225, 2020-08-06T07:37:44+00:00, 9, 2, WIN
16, 3, 225, 2020-08-06T07:42:32+00:00, 9, 12, LOSE
17, 1, 225, 2020-08-06T07:47:26+00:00, 12, 13, LOSE
17, 2, 225, 2020-08-06T07:52:13+00:00, 9, 2, WIN
17, 3, 225, 2020-08-06T07:57:01+00:00, 9, 12, LOSE
18, 1, 225, 2020-08-06T08:01:55+00:00, 12, 8, WIN
18, 2, 225, 2020-08-06T08:06:43+00:00, 8, 2, WIN
18, 3, 225, 2020-08-06T08:11:31+00:00, 8, 6, WIN
19, 1, 225, 2020-08-06T08:16:25+00:00, 12, 10, WIN
19, 2, 225, 2020-08-06T08:21:12+00:00, 16, 7, WIN
19, 3, 225, 2020-08-06T08:26:00+00:00, 8, 10, LOSE
20, 1, 225, 2020-08-06T08:30:54+00:00, 12, 10, WIN
20, 2, 225, 2020-08-06T08:35:42+00:00, 9, 2, WIN
20, 3, 225, 2020-08-06T08:40:30+00:00, 10, 12, LOSE
21, 1, 225, 2020-08-06T08:45:25+00:00, 9, 10, LOSE
21, 2, 225, 2020-08-06T08:50:13+00:00, 9, 2, WIN
21, 3, 225, 2020-08-06T08:55:00+00:00, 10, 0, WIN
22, 1, 225, 2020-08-06T08:59:54+00:00, 16, 10, WIN
22, 2, 225, 2020-08-06T09:04:42+00:00, 9, 2, WIN
22, 3, 225, 2020-08-06T09:09:30+00:00, 2, 13, LOSE
23, 1, 225, 2020-08-06T09:14:24+00:00, 12, 10, WIN
23, 2, 225, 2020-08-06T09:19:12+00:00, 9, 2, WIN
23, 3, 225, 2020-08-06T09:24:00+00:00, 13, 1, WIN
24, 1, 225, 2020-08-06T09:28:54+00:00, 17, 8, WIN
24, 2, 225, 2020-08-06T09:33:41+00:00, 14, 2, WIN
24, 3, 225, 2020-08-06T09:38:29+00:00, 12, 1, WIN
25, 1, 225, 2020-08-06T09:43:23+00:00, 17, 10, WIN
25, 2, 225, 2020-08-06T09:48:11+00:00, 12, 2, WIN
25, 3, 225, 2020-08-06T09:52:58+00:00, 10, 0, WIN
26, 1, 225, 2020-08-06T09:57:53+00:00, 12, 13, LOSE
26, 2, 225, 2020-08-06T10:02:40+00:00, 9, 2, WIN
26, 3, 225, 2020-08-06T10:07:28+00:00, 11, 13, LOSE
27, 1, 225, 2020-08-06T10:12:22+00:00, 19, 13, WIN
27, 2, 225, 2020-08-06T10:17:09+00:00, 9, 2, WIN
27, 3, 225, 2020-08-06T10:21:57+00:00, 9, 10, LOSE
28, 1, 225, 2020-08-06T10:26:51+00:00, 15, 4, WIN
28, 2, 225, 2020-08-06T10:31:39+00:00, 9, 2, WIN
28, 3, 225, 2020-08-06T10:36:26+00:00, 9, 2, WIN
29, 1, 225, 2020-08-06T10:41:20+00:00, 9, 10, LOSE
29, 2, 225, 2020-08-06T10:46:08+00:00, 12, 2, WIN
29, 3, 225, 2020-08-06T10:50:56+00:00, 10, 0, WIN
30, 1, 225, 2020-08-06T10:55:50+00:00, 17, 10, WIN
30, 2, 225, 2020-08-06T11:00:37+00:00, 9, 2, WIN
30, 3, 225, 2020-08-06T11:05:25+00:00, 9, 13, LOSE
31, 1, 225, 2020-08-06T11:10:19+00:00, 15, 13, WIN
31, 2, 225, 2020-08-06T11:15:07+00:00, 9, 2, WIN
31, 3, 225, 2020-08-06T11:19:55+00:00, 12, 1, WIN
32, 1, 225, 2020-08-06T11:24:48+00:00, 10, 0, WIN
32, 2, 225, 2020-08-06T11:29:36+00:00, 9, 2, WIN
32, 3, 225, 2020-08-06T11:34:24+00:00, 10, 0, WIN
33, 1, 225, 2020-08-06T11:39:18+00:00, 12, 5, WIN
33, 2, 225, 2020-08-06T11:44:06+00:00, 9, 2, WIN
33, 3, 225, 2020-08-06T11:48:54+00:00, 10, 1, WIN
34, 1, 225, 2020-08-06T11:53:48+00:00, 10, 0, WIN
34, 2, 225, 2020-08-06T11:58:36+00:00, 12, 1, WIN
